# of Sims,Tickets lost in this million,Total tickets lost,rolling ticket loss average,Expected Value this million,rolling expected value
267000000,-1188492,-317730298,-1190001.116104869,-1.188492,-1.190001116104869
268000000,-1192788,-318923086,-1190011.514925373,-1.192788,-1.1900115149253732
269000000,-1188281,-320111367,-1190005.0817843867,-1.188281,-1.1900050817843866
270000000,-1191661,-321303028,-1190011.2148148147,-1.191661,-1.1900112148148148
271000000,-1188545,-322491573,-1190005.8044280442,-1.188545,-1.1900058044280444
272000000,-1190157,-323681730,-1190006.3602941176,-1.190157,-1.1900063602941175
273000000,-1190083,-324871813,-1190006.641025641,-1.190083,-1.1900066410256411
274000000,-1188732,-326060545,-1190001.989051095,-1.188732,-1.1900019890510949
275000000,-1189401,-327249946,-1189999.8036363637,-1.189401,-1.1899998036363637
276000000,-1188091,-328438037,-1189992.8876811594,-1.188091,-1.1899928876811594
277000000,-1192467,-329630504,-1190001.8194945848,-1.192467,-1.190001819494585
278000000,-1191961,-330822465,-1190008.8669064748,-1.191961,-1.1900088669064748
279000000,-1186973,-332009438,-1189997.9856630825,-1.186973,-1.1899979856630825
280000000,-1187702,-333197140,-1189989.7857142857,-1.187702,-1.1899897857142858
281000000,-1189714,-334386854,-1189988.8042704626,-1.189714,-1.1899888042704627
282000000,-1191151,-335578005,-1189992.925531915,-1.191151,-1.1899929255319148
283000000,-1189866,-336767871,-1189992.477031802,-1.189866,-1.1899924770318022
284000000,-1192068,-337959939,-1189999.7852112676,-1.192068,-1.1899997852112676
285000000,-1187454,-339147393,-1189990.852631579,-1.187454,-1.189990852631579
286000000,-1189393,-340336786,-1189988.7622377623,-1.189393,-1.1899887622377623
287000000,-1191221,-341528007,-1189993.0557491288,-1.191221,-1.189993055749129
288000000,-1185515,-342713522,-1189977.5069444445,-1.185515,-1.1899775069444445
289000000,-1192177,-343905699,-1189985.1176470588,-1.192177,-1.1899851176470588
290000000,-1190294,-345095993,-1189986.1827586207,-1.190294,-1.1899861827586207
291000000,-1187114,-346283107,-1189976.3127147767,-1.187114,-1.1899763127147767
292000000,-1191203,-347474310,-1189980.51369863,-1.191203,-1.1899805136986301
293000000,-1189352,-348663662,-1189978.3686006826,-1.189352,-1.1899783686006826
294000000,-1187807,-349851469,-1189970.9829931974,-1.187807,-1.1899709829931973
295000000,-1189762,-351041231,-1189970.2745762712,-1.189762,-1.1899702745762712
296000000,-1189141,-352230372,-1189967.472972973,-1.189141,-1.189967472972973
297000000,-1187953,-353418325,-1189960.6902356902,-1.187953,-1.1899606902356903
298000000,-1188409,-354606734,-1189955.4832214764,-1.188409,-1.1899554832214765
299000000,-1193210,-355799944,-1189966.3678929766,-1.19321,-1.1899663678929766
300000000,-1189281,-356989225,-1189964.0833333333,-1.189281,-1.1899640833333334
301000000,-1188103,-358177328,-1189957.900332226,-1.188103,-1.1899579003322258
302000000,-1189232,-359366560,-1189955.4966887417,-1.189232,-1.1899554966887418
303000000,-1191081,-360557641,-1189959.2112211222,-1.191081,-1.1899592112211221
304000000,-1191930,-361749571,-1189965.6940789474,-1.19193,-1.1899656940789474
305000000,-1192232,-362941803,-1189973.124590164,-1.192232,-1.189973124590164
306000000,-1189573,-364131376,-1189971.816993464,-1.189573,-1.189971816993464
307000000,-1190692,-365322068,-1189974.1628664494,-1.190692,-1.1899741628664495
308000000,-1190216,-366512284,-1189974.948051948,-1.190216,-1.1899749480519481
309000000,-1191393,-367703677,-1189979.5372168284,-1.191393,-1.1899795372168285
310000000,-1187863,-368891540,-1189972.7096774194,-1.187863,-1.1899727096774193
311000000,-1192667,-370084207,-1189981.3729903537,-1.192667,-1.1899813729903537
312000000,-1188647,-371272854,-1189977.0961538462,-1.188647,-1.189977096153846
313000000,-1187827,-372460681,-1189970.2268370606,-1.187827,-1.1899702268370607
314000000,-1192999,-373653680,-1189979.872611465,-1.192999,-1.189979872611465
315000000,-1190539,-374844219,-1189981.6476190477,-1.190539,-1.1899816476190477
316000000,-1191117,-376035336,-1189985.240506329,-1.191117,-1.1899852405063291
317000000,-1192394,-377227730,-1189992.8391167193,-1.192394,-1.1899928391167192
318000000,-1188468,-378416198,-1189988.0440251573,-1.188468,-1.1899880440251573
319000000,-1188343,-379604541,-1189982.8871473353,-1.188343,-1.1899828871473355
320000000,-1188901,-380793442,-1189979.50625,-1.188901,-1.18997950625
321000000,-1187296,-381980738,-1189971.1464174455,-1.187296,-1.1899711464174454
322000000,-1192289,-383173027,-1189978.3447204968,-1.192289,-1.1899783447204968
323000000,-1190342,-384363369,-1189979.4705882352,-1.190342,-1.1899794705882354
324000000,-1188710,-385552079,-1189975.5524691357,-1.18871,-1.1899755524691358
325000000,-1191538,-386743617,-1189980.36,-1.191538,-1.18998036
326000000,-1191454,-387935071,-1189984.8803680982,-1.191454,-1.1899848803680981
327000000,-1192425,-389127496,-1189992.3425076453,-1.192425,-1.1899923425076453
328000000,-1192168,-390319664,-1189998.975609756,-1.192168,-1.1899989756097562
329000000,-1190948,-391510612,-1190001.8601823708,-1.190948,-1.1900018601823708
330000000,-1188849,-392699461,-1189998.3666666667,-1.188849,-1.1899983666666667
331000000,-1191401,-393890862,-1190002.6042296072,-1.191401,-1.1900026042296072
332000000,-1188856,-395079718,-1189999.1506024096,-1.188856,-1.1899991506024097
333000000,-1190067,-396269785,-1189999.3543543543,-1.190067,-1.1899993543543543
334000000,-1193941,-397463726,-1190011.1556886227,-1.193941,-1.1900111556886228
335000000,-1191572,-398655298,-1190015.814925373,-1.191572,-1.1900158149253732
336000000,-1189928,-399845226,-1190015.5535714286,-1.189928,-1.1900155535714285
337000000,-1193575,-401038801,-1190026.115727003,-1.193575,-1.190026115727003
338000000,-1186786,-402225587,-1190016.5295857987,-1.186786,-1.1900165295857987
339000000,-1189998,-403415585,-1190016.4749262538,-1.189998,-1.1900164749262536
340000000,-1188563,-404604148,-1190012.2,-1.188563,-1.1900122
341000000,-1190043,-405794191,-1190012.2903225806,-1.190043,-1.1900122903225807
342000000,-1188460,-406982651,-1190007.7514619883,-1.18846,-1.1900077514619882
343000000,-1192315,-408174966,-1190014.4781341108,-1.192315,-1.1900144781341109
344000000,-1188859,-409363825,-1190011.1191860465,-1.188859,-1.1900111191860465
345000000,-1191475,-410555300,-1190015.3623188406,-1.191475,-1.1900153623188405
346000000,-1190830,-411746130,-1190017.7167630058,-1.19083,-1.1900177167630057
347000000,-1190044,-412936174,-1190017.7925072047,-1.190044,-1.1900177925072046
348000000,-1189073,-414125247,-1190015.0775862068,-1.189073,-1.1900150775862068
349000000,-1190118,-415315365,-1190015.3724928368,-1.190118,-1.1900153724928366
350000000,-1188678,-416504043,-1190011.5514285713,-1.188678,-1.1900115514285714
351000000,-1190162,-417694205,-1190011.9800569802,-1.190162,-1.1900119800569802
352000000,-1188407,-418882612,-1190007.4204545454,-1.188407,-1.1900074204545454
353000000,-1191510,-420074122,-1190011.6770538243,-1.19151,-1.1900116770538243
